memberNumber,purchaseDate,itemName
2996,2015-04-29,coffee
4823,2015-04-06,root vegetables
2253,2015-12-16,root vegetables
4527,2015-01-02,brown bread
4692,2015-08-29,citrus fruit
5000,2015-03-09,fruit/vegetable juice
1736,2015-03-11,butter
2702,2015-11-12,bottled water
2065,2015-01-28,soda
1361,2015-09-03,rolls/buns
4721,2015-01-26,fruit/vegetable juice
3529,2015-01-23,fruit/vegetable juice
1052,2015-12-05,soda
2178,2015-01-26,beef
4883,2015-12-26,UHT-milk
1899,2015-02-07,soda
4679,2015-02-02,beef
2115,2015-09-19,canned beer
4418,2015-09-12,whole milk
4479,2015-11-25,rolls/buns
2048,2015-11-24,whole milk
1083,2015-11-15,hamburger meat
3725,2015-09-20,root vegetables
2481,2015-08-07,tropical fruit
1133,2015-08-03,yogurt
4464,2015-05-19,other vegetables
1591,2015-12-19,root vegetables
1964,2015-08-30,shopping bags
4594,2015-11-28,chocolate
1087,2015-10-13,ham
1664,2015-10-06,pork
2233,2015-10-29,frozen fish
4300,2015-10-01,citrus fruit
1955,2015-11-16,rolls/buns
3215,2015-02-26,rolls/buns
1407,2015-11-03,whole milk
2401,2015-02-28,other vegetables
4771,2015-11-02,meat
1776,2015-04-28,margarine
2185,2015-09-04,other vegetables
3465,2015-09-30,tropical fruit
4780,2015-08-14,root vegetables
1798,2015-07-04,yogurt
4148,2015-06-26,domestic eggs
2008,2015-03-17,root vegetables
4487,2015-08-18,spread cheese
4962,2015-06-06,hygiene articles
2411,2015-03-24,herbs
1879,2015-10-02,chocolate
1419,2015-10-21,cat food
3063,2015-02-08,frozen vegetables
1483,2015-01-03,pastry
2329,2015-05-28,misc. beverages
2524,2015-08-22,tea
2239,2015-12-01,curd
3668,2015-09-05,pip fruit
2340,2015-04-08,whole milk
4464,2015-08-26,candy
3737,2015-04-06,soda
3538,2015-02-01,waffles
1772,2015-11-13,yogurt
2451,2015-08-02,candy
3966,2015-06-19,root vegetables
4135,2015-05-11,whole milk
2747,2015-09-24,yogurt
1013,2015-03-26,tropical fruit
1356,2015-12-19,onions
4836,2015-01-13,whipped/sour cream
1784,2015-09-05,ham
2950,2015-04-28,liquor
2602,2015-01-20,cream cheese
1087,2015-04-20,whole milk
3111,2015-06-01,oil
2831,2015-05-18,pip fruit
3428,2015-10-21,brown bread
3232,2015-11-12,whole milk
4983,2015-12-13,yogurt
4548,2015-03-17,sliced cheese
4388,2015-08-16,frozen fish
2315,2015-10-27,tea
3320,2015-02-19,whipped/sour cream
2589,2015-03-31,whole milk
2376,2015-11-08,rolls/buns
2802,2015-12-15,whole milk
4771,2015-03-06,coffee
4917,2015-12-02,pastry
3578,2015-09-10,oil
2532,2015-09-21,rolls/buns
2091,2015-01-18,photo/film
1661,2015-01-21,pip fruit
3517,2015-10-24,yogurt
4138,2015-08-24,beef
1312,2015-09-02,pip fruit
4678,2015-03-13,citrus fruit
1040,2015-10-24,root vegetables
4094,2015-10-21,canned beer
4584,2015-08-29,citrus fruit
1696,2015-08-23,domestic eggs
1553,2015-07-23,yogurt
4272,2015-05-10,domestic eggs
4066,2015-08-07,zwieback
1602,2015-03-15,yogurt
2595,2015-08-18,tropical fruit
2440,2015-06-22,coffee
1764,2015-01-03,honey
4505,2015-06-24,other vegetables
2643,2015-12-12,spread cheese
2907,2015-10-15,sausage
2479,2015-11-18,soda
4071,2015-12-16,beverages
4939,2015-01-08,beef
3756,2015-11-15,napkins
4024,2015-03-30,white bread
4132,2015-11-04,whole milk
3256,2015-10-17,pork
2396,2015-05-10,pip fruit
2471,2015-08-12,other vegetables
1248,2015-08-14,tropical fruit
3957,2015-10-03,rolls/buns
4347,2015-07-09,citrus fruit
3840,2015-01-11,butter
3864,2015-12-30,other vegetables
3918,2015-12-06,tropical fruit
3539,2015-08-27,white wine
4676,2015-11-13,domestic eggs
1589,2015-01-11,dessert
4415,2015-07-14,pip fruit
1597,2015-12-23,other vegetables
2743,2015-05-12,beef
3646,2015-05-26,newspapers
2796,2015-04-18,other vegetables
4638,2015-11-03,nuts/prunes
2501,2015-06-05,other vegetables
3082,2015-09-07,tropical fruit
3942,2015-03-07,white wine
1602,2015-08-02,ice cream
4668,2015-05-04,chicken
4661,2015-05-30,whipped/sour cream
1889,2015-11-16,root vegetables
1097,2015-11-26,hard cheese
3033,2015-09-25,other vegetables
2251,2015-02-06,citrus fruit
4957,2015-05-15,misc. beverages
2751,2015-06-04,frozen meals
2141,2015-02-23,yogurt
3667,2015-04-15,fruit/vegetable juice
2531,2015-08-24,herbs
1785,2015-05-25,curd
3330,2015-08-19,tropical fruit
2048,2015-12-17,rolls/buns
3337,2015-08-19,citrus fruit
3749,2015-12-10,pip fruit
4190,2015-12-30,soda
1136,2015-07-15,root vegetables
4797,2015-02-11,citrus fruit
1224,2015-08-31,UHT-milk
3903,2015-04-16,butter
1803,2015-10-25,citrus fruit
2056,2015-12-26,citrus fruit
1852,2015-07-14,soda
4962,2015-10-17,whole milk
4183,2015-03-26,other vegetables
2673,2015-04-23,root vegetables
4348,2015-08-06,citrus fruit
2629,2015-05-26,whole milk
1256,2015-10-14,sugar
1051,2015-01-13,hamburger meat
4014,2015-07-31,other vegetables
4078,2015-01-11,ham
3962,2015-12-13,white bread
3182,2015-02-19,beef
1013,2015-03-28,mustard
1913,2015-12-14,rolls/buns
2694,2015-10-09,rolls/buns
2952,2015-09-24,sugar
2849,2015-05-28,pip fruit
2608,2015-10-17,pastry
1966,2015-09-23,rolls/buns
2361,2015-12-15,hard cheese
4469,2015-11-29,root vegetables
4910,2015-11-27,soda
1526,2015-07-13,yogurt
2772,2015-11-07,rolls/buns
2059,2015-09-07,whole milk
1793,2015-08-25,beef
4753,2015-12-01,whole milk
4915,2015-01-11,yogurt
1281,2015-07-28,rolls/buns
3262,2015-04-16,pip fruit
4391,2015-01-23,canned fish
4751,2015-11-29,soft cheese
4643,2015-03-09,other vegetables
4015,2015-12-18,hamburger meat
3561,2015-12-28,other vegetables
1018,2015-10-01,curd
1065,2015-01-23,hamburger meat
4779,2015-05-07,pip fruit
4615,2015-10-29,whole milk
4522,2015-05-27,other vegetables
2207,2015-04-09,rolls/buns
3866,2015-08-19,onions
2530,2015-10-30,bottled water
1189,2015-02-23,tropical fruit
4499,2015-06-25,soda
4828,2015-08-26,frozen vegetables
1738,2015-07-15,brown bread
1587,2015-05-15,rolls/buns
4206,2015-11-27,frozen vegetables
3118,2015-11-07,other vegetables
4462,2015-03-28,chewing gum
2872,2015-08-06,liquor (appetizer)
1791,2015-08-05,pork
2809,2015-04-01,bottled beer
2568,2015-12-22,canned beer
3758,2015-07-16,grapes
4237,2015-05-20,pork
4779,2015-06-15,citrus fruit
3575,2015-11-16,butter milk
2097,2015-09-28,rolls/buns
3573,2015-10-13,herbs
2425,2015-11-11,rolls/buns
1115,2015-08-03,other vegetables
3518,2015-08-10,candy
3073,2015-07-06,fruit/vegetable juice
1654,2015-06-07,whole milk
2343,2015-04-06,white bread
4499,2015-12-20,fruit/vegetable juice
3910,2015-12-30,newspapers
3893,2015-01-08,salty snack
2713,2015-11-07,coffee
4510,2015-03-12,citrus fruit
1466,2015-04-25,root vegetables
4636,2015-07-28,soda
1554,2015-05-23,pip fruit
3039,2015-08-20,finished products
4124,2015-05-31,fruit/vegetable juice
1533,2015-03-15,cream cheese
4110,2015-12-03,domestic eggs
3042,2015-09-14,other vegetables
4915,2015-06-28,other vegetables
3271,2015-11-20,soda
1245,2015-09-27,coffee
4915,2015-02-20,sausage
4062,2015-11-27,yogurt
3687,2015-10-01,rolls/buns
3020,2015-06-13,rolls/buns
2388,2015-02-20,pork
3896,2015-07-11,newspapers
1453,2015-03-13,citrus fruit
1294,2015-07-05,hygiene articles
3034,2015-10-06,sausage
1707,2015-12-22,bottled beer
1676,2015-05-15,other vegetables
1652,2015-03-15,root vegetables
1573,2015-05-18,pastry
3712,2015-08-14,male cosmetics
3045,2015-06-15,turkey
1827,2015-09-01,soda
4860,2015-01-13,pastry
4353,2015-07-12,tropical fruit
4782,2015-10-12,whole milk
1687,2015-07-31,chicken
1421,2015-12-26,beverages
1110,2015-10-13,bottled water
2838,2015-04-28,liver loaf
3347,2015-11-21,soda
1159,2015-02-06,frozen vegetables
1309,2015-08-10,curd
3573,2015-08-26,yogurt
4673,2015-08-20,whole milk
2898,2015-01-07,rolls/buns
2820,2015-11-24,tropical fruit
4250,2015-01-17,yogurt
3909,2015-08-13,root vegetables
1289,2015-08-09,root vegetables
4561,2015-09-04,tropical fruit
1618,2015-04-03,canned fruit
4987,2015-04-12,other vegetables
1053,2015-05-16,waffles
1829,2015-02-26,brown bread
4601,2015-03-27,sausage
3101,2015-09-02,frozen dessert
4087,2015-09-04,pork
3276,2015-08-08,sausage
2901,2015-04-14,beverages
1332,2015-04-18,condensed milk
3368,2015-08-21,rolls/buns
4450,2015-02-01,beef
2843,2015-04-14,rolls/buns
3512,2015-01-19,other vegetables
2380,2015-05-21,long life bakery product
2371,2015-05-22,UHT-milk
1065,2015-11-05,tropical fruit
1969,2015-02-10,pork
2308,2015-04-13,yogurt
2350,2015-05-30,rolls/buns
1493,2015-01-28,root vegetables
4036,2015-08-03,pastry
3293,2015-01-19,nuts/prunes
4646,2015-01-16,whole milk
1163,2015-04-30,white bread
2273,2015-08-14,tropical fruit
3384,2015-07-23,sugar
4940,2015-08-20,soda
4528,2015-06-27,cookware
4367,2015-10-03,shopping bags
1283,2015-02-09,butter
2699,2015-12-03,sliced cheese
4483,2015-07-03,other vegetables
3841,2015-08-01,specialty cheese
4495,2015-10-23,whole milk
1565,2015-07-02,chewing gum
3961,2015-12-18,tropical fruit
2044,2015-11-26,pip fruit
2961,2015-03-14,pastry
2857,2015-05-30,meat
1797,2015-07-31,hard cheese
1912,2015-10-19,misc. beverages
3515,2015-09-06,root vegetables
1052,2015-10-13,soda
4888,2015-06-04,onions
2925,2015-04-01,male cosmetics
4145,2015-05-17,onions
1028,2015-11-10,soda
3779,2015-10-27,ham
3890,2015-01-20,newspapers
3608,2015-11-16,waffles
2828,2015-02-01,meat
1110,2015-12-11,soda
2811,2015-07-22,chocolate
1859,2015-01-14,soda
1783,2015-05-12,bottled water
2272,2015-06-05,whole milk
3159,2015-07-23,other vegetables
4846,2015-12-04,pot plants
2314,2015-07-28,whipped/sour cream
2646,2015-10-23,napkins
2443,2015-02-04,seasonal products
4979,2015-11-18,brown bread
3176,2015-07-10,bottled water
3641,2015-02-01,root vegetables
3560,2015-11-26,soft cheese
2956,2015-05-03,rolls/buns
4009,2015-09-18,canned fish
4597,2015-07-17,finished products
2438,2015-05-25,tropical fruit
1189,2015-07-04,bottled beer
4527,2015-03-22,newspapers
2731,2015-08-27,whole milk
1863,2015-06-01,bottled beer
3532,2015-08-17,whole milk
3309,2015-03-19,beef
1535,2015-06-08,napkins
2764,2015-03-30,tropical fruit
4140,2015-01-29,brown bread
2363,2015-12-03,white bread
2496,2015-11-26,zwieback
2814,2015-12-15,root vegetables
1100,2015-12-18,whole milk
2005,2015-11-22,brown bread
2673,2015-12-16,yogurt
3876,2015-12-10,domestic eggs
3483,2015-10-19,citrus fruit
4130,2015-08-03,liquor
2528,2015-03-15,candy
4153,2015-07-27,root vegetables
4407,2015-12-25,soda
2907,2015-04-17,citrus fruit
3541,2015-03-18,rolls/buns
2882,2015-12-12,sliced cheese
3507,2015-02-13,photo/film
3104,2015-10-22,dessert
1286,2015-07-19,bottled beer
3756,2015-11-03,yogurt
2242,2015-12-01,frozen vegetables
4481,2015-08-11,frozen meals
4910,2015-02-26,frozen meals
1287,2015-08-07,canned fruit
3067,2015-11-17,frozen potato products
1204,2015-05-18,root vegetables
4318,2015-03-27,pastry
3218,2015-06-11,cereals
2772,2015-08-19,soda
3823,2015-12-10,whole milk
1325,2015-04-30,napkins
1211,2015-12-13,specialty bar
1613,2015-01-17,tropical fruit
3706,2015-11-17,frozen potato products
3435,2015-01-22,other vegetables
1828,2015-06-12,canned beer
4204,2015-11-11,curd
1004,2015-07-01,canned beer
1520,2015-06-03,beef
3031,2015-12-01,whole milk
2450,2015-07-31,salt
1878,2015-01-02,root vegetables
3012,2015-07-24,whole milk
3484,2015-08-06,pip fruit
1908,2015-05-30,misc. beverages
4126,2015-10-18,coffee
3359,2015-06-07,shopping bags
2747,2015-09-17,whole milk
2467,2015-11-30,onions
4993,2015-08-15,onions
1738,2015-08-10,whole milk
2755,2015-10-30,salty snack
3035,2015-02-21,misc. beverages
4267,2015-11-12,rolls/buns
1907,2015-04-20,hamburger meat
3568,2015-08-14,bottled beer
1798,2015-05-29,beverages
3289,2015-02-02,hard cheese
4853,2015-07-20,misc. beverages
2144,2015-05-13,pork
2079,2015-08-26,turkey
3689,2015-09-10,pastry
4913,2015-11-06,rolls/buns
3830,2015-04-01,margarine
2829,2015-07-07,pork
4138,2015-10-07,salty snack
3484,2015-11-19,UHT-milk
2413,2015-09-16,yogurt
2164,2015-09-30,pork
3393,2015-07-02,whole milk
4325,2015-03-03,ice cream
1205,2015-04-30,whole milk
4793,2015-12-14,pork
4194,2015-02-23,root vegetables
2018,2015-02-05,tropical fruit
1881,2015-08-18,soda
3967,2015-01-23,hard cheese
4305,2015-12-03,whole milk
2637,2015-06-18,whole milk
2631,2015-02-20,frozen vegetables
1630,2015-10-22,whole milk
4860,2015-05-30,bottled water
2014,2015-06-07,dessert
1197,2015-03-19,pip fruit
1572,2015-03-31,bottled beer
1833,2015-10-20,other vegetables
3737,2015-09-05,other vegetables
3860,2015-10-06,rolls/buns
1954,2015-08-16,hamburger meat
1923,2015-02-02,meat
1052,2015-01-04,beef
2773,2015-05-30,female sanitary products
2070,2015-04-13,skin care
2632,2015-12-10,other vegetables
4999,2015-05-19,other vegetables
3158,2015-10-04,citrus fruit
3763,2015-07-15,tropical fruit
1740,2015-07-26,tropical fruit
3548,2015-03-13,tropical fruit
2404,2015-10-22,soda
2258,2015-10-19,soda
2795,2015-03-19,root vegetables
1270,2015-07-12,cake bar
4803,2015-01-12,root vegetables
1542,2015-12-08,hamburger meat
4929,2015-05-08,beef
4620,2015-03-16,root vegetables
2836,2015-11-06,meat
1692,2015-06-12,chewing gum
4563,2015-05-20,root vegetables
4210,2015-03-17,tropical fruit
1971,2015-05-28,white wine
1280,2015-04-13,butter milk
2632,2015-06-22,beef
3430,2015-08-12,tropical fruit
3554,2015-01-15,white bread
1924,2015-11-22,root vegetables
1064,2015-04-21,cream cheese
3208,2015-12-02,fruit/vegetable juice
1895,2015-04-06,other vegetables
1865,2015-02-17,onions
4316,2015-08-04,whole milk
3411,2015-05-02,other vegetables
4855,2015-08-27,whole milk
3782,2015-01-15,pip fruit
4394,2015-11-13,curd
2112,2015-06-03,soda
3768,2015-01-06,dessert
1109,2015-10-14,curd
3850,2015-06-14,frozen vegetables
1466,2015-05-24,root vegetables
3785,2015-07-12,other vegetables
3116,2015-05-22,ham
3705,2015-05-18,frozen meals
4916,2015-01-11,grapes
3467,2015-10-20,beef
2523,2015-10-11,pip fruit
2916,2015-08-12,whole milk
3675,2015-11-15,pork
1206,2015-02-03,tropical fruit
1621,2015-08-28,sugar
2629,2015-07-09,tropical fruit
2712,2015-08-15,rolls/buns
2486,2015-04-19,curd
3166,2015-05-03,other vegetables
3120,2015-01-02,beef
4060,2015-10-01,other vegetables
4443,2015-10-19,frozen meals
2180,2015-09-27,other vegetables
2552,2015-07-11,pot plants
4022,2015-07-10,roll products
2617,2015-08-12,root vegetables
2937,2015-04-24,sausage
3516,2015-09-09,long life bakery product
3582,2015-06-16,tropical fruit
2022,2015-03-28,curd cheese
2345,2015-06-09,whipped/sour cream
2837,2015-11-05,brandy
3715,2015-04-04,whole milk
3010,2015-06-13,pork
2428,2015-02-11,yogurt
4512,2015-08-12,root vegetables
1194,2015-01-16,whole milk
2492,2015-03-14,soft cheese
3732,2015-07-14,butter
1653,2015-12-20,citrus fruit
3117,2015-03-19,cat food
1506,2015-12-25,cat food
3110,2015-07-23,processed cheese
2274,2015-02-22,pork
3074,2015-11-03,processed cheese
4969,2015-09-09,other vegetables
2546,2015-06-04,fish
4434,2015-01-30,domestic eggs
2931,2015-07-05,pip fruit
1329,2015-01-29,canned beer
3797,2015-09-07,semi-finished bread
1525,2015-07-13,sausage
3704,2015-12-03,other vegetables
3221,2015-07-28,soft cheese
1118,2015-03-02,bottled beer
4891,2015-06-02,specialty bar
2716,2015-09-03,yogurt
1083,2015-07-15,specialty chocolate
1345,2015-04-08,soda
3122,2015-04-16,other vegetables
2306,2015-03-17,cream cheese
1410,2015-06-26,specialty chocolate
2956,2015-07-22,soda
4389,2015-04-22,chicken
4946,2015-04-24,bottled beer
3893,2015-05-19,pip fruit
3401,2015-03-17,pip fruit
3082,2015-07-07,pip fruit
2437,2015-07-06,soda
3909,2015-11-16,specialty bar
3207,2015-12-06,bottled water
4526,2015-12-19,UHT-milk
1288,2015-09-28,citrus fruit
1013,2015-01-17,hard cheese
1615,2015-06-07,herbs
3956,2015-10-26,domestic eggs
1868,2015-03-19,ham
2863,2015-03-03,chocolate
3052,2015-10-26,ketchup
2612,2015-06-02,white bread
4362,2015-01-22,chewing gum
4512,2015-05-28,pip fruit
4176,2015-06-11,other vegetables
1766,2015-04-15,dessert
4261,2015-05-29,root vegetables
4683,2015-03-02,cling film/bags
1443,2015-08-25,tropical fruit
1692,2015-07-26,dessert
2283,2015-11-22,citrus fruit
3562,2015-12-17,butter
1004,2015-06-10,rolls/buns
1405,2015-05-14,other vegetables
2141,2015-04-24,rolls/buns
2954,2015-07-17,root vegetables
2230,2015-07-14,meat
1765,2015-06-12,meat
4735,2015-03-27,brown bread
3603,2015-07-20,other vegetables
1774,2015-08-10,other vegetables
4018,2015-10-30,specialty bar
2437,2015-02-25,bottled water
2847,2015-04-28,hamburger meat
3832,2015-06-07,condensed milk
4433,2015-10-19,whole milk
2358,2015-06-26,root vegetables
2540,2015-07-23,whole milk
2298,2015-04-12,domestic eggs
4618,2015-02-28,newspapers
4667,2015-03-05,canned beer
4527,2015-10-14,citrus fruit
1521,2015-09-11,whole milk
3403,2015-01-21,bottled water
3831,2015-03-29,tropical fruit
3141,2015-01-04,frozen vegetables
2732,2015-03-04,frozen fish
3905,2015-04-04,domestic eggs
3100,2015-04-16,UHT-milk
1549,2015-07-17,liver loaf
3726,2015-09-03,pip fruit
1429,2015-10-19,packaged fruit/vegetables
2928,2015-11-04,beef
3482,2015-01-13,root vegetables
2410,2015-12-06,chicken
4448,2015-12-11,UHT-milk
3095,2015-05-08,beef
4445,2015-04-25,rolls/buns
3148,2015-04-23,ham
4746,2015-07-08,sausage
2814,2015-06-10,whole milk
4494,2015-11-08,pork
2631,2015-09-29,whole milk
3021,2015-11-15,chicken
1530,2015-09-05,pastry
4202,2015-07-12,citrus fruit
3931,2015-06-22,margarine
1644,2015-07-13,salty snack
3149,2015-01-25,whipped/sour cream
2122,2015-04-06,berries
3831,2015-03-01,soda
3583,2015-03-21,other vegetables
3848,2015-02-28,soft cheese
1264,2015-12-11,tropical fruit
2060,2015-05-25,salty snack
4116,2015-10-12,root vegetables
4727,2015-04-12,other vegetables
1692,2015-05-04,other vegetables
4370,2015-02-12,other vegetables
1355,2015-03-29,curd
2549,2015-08-20,other vegetables
2612,2015-06-11,berries
1094,2015-12-11,hamburger meat
2932,2015-11-10,whole milk
4402,2015-10-09,meat
3942,2015-05-06,canned fish
2644,2015-03-29,sausage
3116,2015-03-12,frozen meals
1188,2015-07-04,butter milk
1387,2015-05-31,rolls/buns
4468,2015-03-12,onions
1652,2015-12-06,bottled beer
1234,2015-03-16,root vegetables
3480,2015-08-31,beverages
3946,2015-04-19,whole milk
2784,2015-08-10,berries
3743,2015-08-13,whole milk
2313,2015-05-02,other vegetables
2746,2015-01-17,hamburger meat
4543,2015-05-11,pastry
1692,2015-11-11,canned beer
4163,2015-02-16,other vegetables
1379,2015-09-21,bottled water
1442,2015-10-01,specialty bar
3517,2015-08-21,butter
2177,2015-06-29,yogurt
2086,2015-01-08,root vegetables
1169,2015-11-01,soda
4113,2015-03-13,other vegetables
4807,2015-04-03,onions
3688,2015-02-09,rice
4252,2015-12-25,ham
1136,2015-05-25,instant coffee
3590,2015-10-31,specialty bar
3523,2015-10-16,bottled water
2801,2015-10-10,dessert
3264,2015-10-11,root vegetables
4033,2015-03-18,soft cheese
4944,2015-08-26,meat
1740,2015-07-13,whipped/sour cream
1108,2015-06-25,frozen potato products
3327,2015-08-03,frozen potato products
2148,2015-12-06,citrus fruit
1932,2015-06-02,specialty chocolate
1943,2015-09-16,UHT-milk
1416,2015-03-04,canned beer
1592,2015-11-28,other vegetables
1452,2015-05-31,margarine
2138,2015-12-12,chocolate
3482,2015-07-30,pastry
3499,2015-06-13,berries
1668,2015-07-25,turkey
2298,2015-04-15,soda
1214,2015-07-08,syrup
1937,2015-04-18,whole milk
2312,2015-02-14,pip fruit
2469,2015-06-17,pet care
4826,2015-03-02,whole milk
2127,2015-04-16,pastry
3409,2015-05-15,grapes
1162,2015-04-05,misc. beverages
4723,2015-08-28,root vegetables
2254,2015-03-02,whipped/sour cream
3684,2015-08-28,root vegetables
2746,2015-08-03,bottled beer
1275,2015-06-10,citrus fruit
1654,2015-11-26,pip fruit
4463,2015-06-08,pip fruit
2658,2015-09-28,root vegetables
3018,2015-11-17,tropical fruit
3934,2015-09-24,specialty bar
1426,2015-10-03,bottled water
2898,2015-06-10,rolls/buns
2004,2015-05-09,tropical fruit
2551,2015-01-11,other vegetables
1816,2015-08-21,pickled vegetables
3992,2015-04-12,specialty bar
1211,2015-12-12,finished products
3356,2015-06-26,other vegetables
4690,2015-12-17,rolls/buns
2540,2015-11-11,misc. beverages
1948,2015-01-04,other vegetables
2146,2015-10-22,whole milk
4406,2015-08-16,sugar
4769,2015-08-20,napkins
2371,2015-09-07,meat
2986,2015-03-28,pork
4084,2015-04-23,fruit/vegetable juice
2218,2015-05-13,sausage
4649,2015-09-19,canned beer
2722,2015-07-26,root vegetables
1259,2015-06-24,fruit/vegetable juice
3129,2015-04-02,sweet spreads
1223,2015-09-20,packaged fruit/vegetables
1457,2015-05-12,root vegetables
2987,2015-04-16,misc. beverages
3811,2015-03-23,other vegetables
3899,2015-04-22,white bread
3013,2015-05-12,UHT-milk
1456,2015-07-01,liquor
3616,2015-10-08,soda
2612,2015-05-30,tropical fruit
3505,2015-08-05,white wine
4221,2015-06-01,bottled water
4540,2015-12-26,frozen vegetables
3356,2015-11-08,beef
3281,2015-04-19,yogurt
2092,2015-12-17,salty snack
2620,2015-04-19,hamburger meat
4456,2015-05-01,specialty bar
1253,2015-03-01,pastry
4925,2015-12-18,pip fruit
3663,2015-12-19,chewing gum
2539,2015-11-23,bottled beer
3809,2015-11-11,fruit/vegetable juice
3587,2015-02-18,misc. beverages
4103,2015-12-22,yogurt
3137,2015-02-23,root vegetables
4368,2015-05-22,coffee
4660,2015-01-23,pork
3967,2015-03-07,chocolate
4193,2015-04-30,ketchup
4243,2015-12-29,pot plants
1495,2015-11-10,whipped/sour cream
4813,2015-05-15,soda
2445,2015-10-29,chicken
2213,2015-08-25,yogurt
4591,2015-07-11,berries
4663,2015-02-24,fruit/vegetable juice
4526,2015-10-28,ice cream
4367,2015-09-28,root vegetables
4877,2015-05-19,bottled beer
4814,2015-01-18,pickled vegetables
3145,2015-08-15,tropical fruit
1589,2015-08-27,hamburger meat
2273,2015-11-13,bottled water
4339,2015-11-20,whole milk
2954,2015-05-28,fruit/vegetable juice
2935,2015-02-04,pastry
1618,2015-05-14,root vegetables
1745,2015-03-22,tropical fruit
1689,2015-12-09,rolls/buns
2560,2015-12-01,shopping bags
1779,2015-01-13,citrus fruit
1822,2015-01-24,dessert
1711,2015-05-23,oil
1020,2015-08-12,canned beer
4538,2015-08-19,other vegetables
3138,2015-05-24,other vegetables
4030,2015-05-20,brown bread
4453,2015-11-07,whole milk
1167,2015-11-01,rolls/buns
3302,2015-03-10,canned beer
4398,2015-03-12,specialty chocolate
1731,2015-10-26,other vegetables
2796,2015-02-16,whipped/sour cream
3102,2015-11-28,shopping bags
1801,2015-12-06,canned beer
2909,2015-07-23,rolls/buns
4256,2015-05-09,whole milk
3751,2015-01-11,specialty chocolate
3758,2015-06-14,whole milk
2218,2015-09-06,brown bread
1320,2015-01-07,mayonnaise
2116,2015-02-13,fruit/vegetable juice
3594,2015-11-05,specialty chocolate
3989,2015-10-18,chicken
4864,2015-12-03,whole milk
2100,2015-03-20,chocolate
1263,2015-10-19,frozen meals
1286,2015-07-02,long life bakery product
2870,2015-09-04,pork
3256,2015-12-17,cream cheese
2617,2015-02-22,other vegetables
1635,2015-12-20,whole milk
4401,2015-02-24,bottled beer
4931,2015-06-18,berries
4641,2015-09-05,waffles
1715,2015-10-18,newspapers
2536,2015-06-10,photo/film
4108,2015-09-13,whipped/sour cream
4481,2015-09-19,brown bread
2196,2015-03-25,whole milk
2446,2015-09-24,cake bar
4797,2015-01-27,whole milk
2802,2015-07-28,whole milk
3255,2015-11-20,tropical fruit
2432,2015-02-25,brandy
4592,2015-03-28,tropical fruit
4148,2015-09-28,whole milk
2541,2015-09-12,soda
3570,2015-07-13,soda
1839,2015-04-10,berries
1793,2015-10-27,brown bread
3914,2015-11-28,shopping bags
4995,2015-03-16,rice
3026,2015-10-29,butter milk
4486,2015-07-07,yogurt
1413,2015-12-14,sugar
1995,2015-07-02,frozen meals
1036,2015-01-20,fruit/vegetable juice
3104,2015-01-22,root vegetables
2045,2015-04-05,whole milk
1490,2015-10-18,detergent
4246,2015-06-28,tropical fruit
2537,2015-02-23,UHT-milk
4413,2015-09-07,nuts/prunes
2072,2015-02-18,newspapers
2219,2015-09-13,margarine
3691,2015-02-24,berries
4832,2015-02-18,turkey
1170,2015-06-03,chocolate
1198,2015-03-22,citrus fruit
1606,2015-01-12,dog food
3680,2015-02-22,shopping bags
1477,2015-03-14,packaged fruit/vegetables
1197,2015-05-12,beef
2699,2015-05-07,nuts/prunes
2042,2015-09-10,pip fruit
3898,2015-11-10,hamburger meat
4501,2015-10-01,brown bread
3233,2015-10-26,chocolate
4947,2015-02-02,white wine
4314,2015-10-25,other vegetables
4391,2015-04-30,meat spreads
4520,2015-02-11,whole milk
1075,2015-06-19,UHT-milk
2320,2015-12-08,margarine
3019,2015-12-13,dishes
1516,2015-02-20,specialty chocolate
4310,2015-01-04,candy
4788,2015-02-10,other vegetables
3761,2015-08-07,soft cheese
2172,2015-06-21,berries
4939,2015-02-16,fruit/vegetable juice
3112,2015-05-08,whole milk
1988,2015-03-30,whipped/sour cream
3744,2015-11-03,bottled water
3545,2015-11-29,canned beer
1801,2015-08-21,white bread
2014,2015-09-07,dessert
1818,2015-04-12,butter milk
4121,2015-01-27,whole milk
4416,2015-03-03,whole milk
4315,2015-04-19,rolls/buns
3537,2015-08-10,frozen vegetables
1496,2015-04-26,root vegetables
1424,2015-01-30,grapes
2870,2015-12-14,tropical fruit
4573,2015-06-08,whole milk
4603,2015-02-12,brown bread
3248,2015-05-13,liquor
4458,2015-01-27,pip fruit
3517,2015-01-03,curd
3469,2015-02-04,chicken
4863,2015-09-03,herbs
4076,2015-11-18,rolls/buns
1457,2015-12-02,whole milk
1568,2015-01-09,candy
1231,2015-09-29,yogurt
4086,2015-06-17,seasonal products
2311,2015-02-01,pastry
3498,2015-03-07,zwieback
4249,2015-03-01,canned beer
4741,2015-04-13,ice cream
3286,2015-08-18,artif. sweetener
1865,2015-03-29,ice cream
1991,2015-03-12,tropical fruit
2289,2015-02-08,UHT-milk
4080,2015-11-10,canned beer
4692,2015-08-18,grapes
1384,2015-01-24,canned beer
1275,2015-06-19,ice cream
1536,2015-07-30,root vegetables
1170,2015-09-13,pip fruit
1978,2015-10-15,turkey
2663,2015-11-15,tropical fruit
